MODEL;DATASET;PERC_T;PERC_U;PERC_L;CV;SAMPLES;METRIC;VALUE_MEAN;VALUE_STD
LADDER-NETWORK;CIFAR;20.0;79.9;0.1;5;10;AUC_WEIGHTED;0.5684815294990188;0.02215386065991815
LADDER-NETWORK;CIFAR;20.0;79.9;0.1;5;10;F1_MACRO;0.13572467642006386;0.01505982583293508
LADDER-NETWORK;CIFAR;20.0;79.9;0.1;5;10;F1_WEIGHTED;0.13617059810791052;0.014991289978785967
LADDER-NETWORK;CIFAR;20.0;79.0;1.0;5;10;ACCURACY;0.19580998829363203;0.015385973024901774
LADDER-NETWORK;CIFAR;20.0;79.0;1.0;5;10;AUC_MACRO;0.6279722010111194;0.017055284755315904
LADDER-NETWORK;CIFAR;20.0;79.0;1.0;5;10;AUC_WEIGHTED;0.6286143171975199;0.01667292224459664
LADDER-NETWORK;CIFAR;20.0;79.0;1.0;5;10;F1_MACRO;0.17846917953861866;0.014982697070623325
LADDER-NETWORK;CIFAR;20.0;79.0;1.0;5;10;F1_WEIGHTED;0.179243164196143;0.015394752766087452
LABEL-SPREADING;CIFAR;20.0;40.0;40.0;5;10;ACCURACY;0.10224087835457221;0.006774341449676829
LABEL-SPREADING;CIFAR;20.0;40.0;40.0;5;10;AUC_MACRO;0.512945222394987;0.0028487540384862812
LABEL-SPREADING;CIFAR;20.0;40.0;40.0;5;10;AUC_WEIGHTED;0.5127772164892924;0.002875485580780884
LABEL-SPREADING;CIFAR;20.0;40.0;40.0;5;10;F1_MACRO;0.03880661224024998;0.004155271325965171
LABEL-SPREADING;CIFAR;20.0;40.0;40.0;5;10;F1_WEIGHTED;0.03836033540256801;0.00475241911143134
LABEL-SPREADING;CIFAR;20.0;45.0;35.0;5;10;ACCURACY;0.10191479470055302;0.006851431341617921
LABEL-SPREADING;CIFAR;20.0;45.0;35.0;5;10;AUC_MACRO;0.5126713709160664;0.0024887302421554586
LABEL-SPREADING;CIFAR;20.0;45.0;35.0;5;10;AUC_WEIGHTED;0.5125234844091108;0.002537024529608986
LABEL-SPREADING;CIFAR;20.0;45.0;35.0;5;10;F1_MACRO;0.038211011057977466;0.0038539025681449666
LABEL-SPREADING;CIFAR;20.0;45.0;35.0;5;10;F1_WEIGHTED;0.037765260124135815;0.004490395873756749
LABEL-SPREADING;CIFAR;20.0;50.0;30.0;5;10;ACCURACY;0.10111542005583467;0.006551660426020679
LABEL-SPREADING;CIFAR;20.0;50.0;30.0;5;10;AUC_MACRO;0.5118275111820205;0.0024985549706609956
LABEL-SPREADING;CIFAR;20.0;50.0;30.0;5;10;AUC_WEIGHTED;0.5116614539879322;0.0025173896030216557
LABEL-SPREADING;CIFAR;20.0;50.0;30.0;5;10;F1_MACRO;0.03656841585801016;0.0036075321198356354
LABEL-SPREADING;CIFAR;20.0;50.0;30.0;5;10;F1_WEIGHTED;0.03605939267700266;0.004120679761655917
LABEL-SPREADING;CIFAR;20.0;55.0;25.0;5;10;ACCURACY;0.10032719249337822;0.006754991838840048
LABEL-SPREADING;CIFAR;20.0;55.0;25.0;5;10;AUC_MACRO;0.5107582982111804;0.002433482715608515
LABEL-SPREADING;CIFAR;20.0;55.0;25.0;5;10;AUC_WEIGHTED;0.5105812257344717;0.002456501014809935
LABEL-SPREADING;CIFAR;20.0;55.0;25.0;5;10;F1_MACRO;0.03493993982507051;0.0036300625008385792
LABEL-SPREADING;CIFAR;20.0;55.0;25.0;5;10;F1_WEIGHTED;0.034321081138290334;0.004104566217656489
LABEL-SPREADING;CIFAR;20.0;60.0;20.0;5;10;ACCURACY;0.0992749328750622;0.006565601877915379
LABEL-SPREADING;CIFAR;20.0;60.0;20.0;5;10;AUC_MACRO;0.5094260856232266;0.0022593702973933726
LABEL-SPREADING;CIFAR;20.0;60.0;20.0;5;10;AUC_WEIGHTED;0.5092605358886515;0.0022752538060748437
LABEL-SPREADING;CIFAR;20.0;60.0;20.0;5;10;F1_MACRO;0.03309553875693898;0.0033027800170234507
LABEL-SPREADING;CIFAR;20.0;60.0;20.0;5;10;F1_WEIGHTED;0.03242747946049243;0.003731177328785407
LABEL-SPREADING;CIFAR;20.0;65.0;15.0;5;10;ACCURACY;0.0982110213762305;0.006427755855542657
LABEL-SPREADING;CIFAR;20.0;65.0;15.0;5;10;AUC_MACRO;0.5079843813067305;0.002238484928305236
LABEL-SPREADING;CIFAR;20.0;65.0;15.0;5;10;AUC_WEIGHTED;0.5078235943094688;0.0022145903949553985
LABEL-SPREADING;CIFAR;20.0;65.0;15.0;5;10;F1_MACRO;0.031022872168462414;0.0035233521255751904
LABEL-SPREADING;CIFAR;20.0;65.0;15.0;5;10;F1_WEIGHTED;0.030289036522732734;0.003894139407434082
LABEL-SPREADING;CIFAR;20.0;70.0;10.0;5;10;ACCURACY;0.0972545699060912;0.006317286216031853
LABEL-SPREADING;CIFAR;20.0;70.0;10.0;5;10;AUC_MACRO;0.5065892069235659;0.002031831961289937
LABEL-SPREADING;CIFAR;20.0;70.0;10.0;5;10;AUC_WEIGHTED;0.5064553006709079;0.0019916138697029695
LABEL-SPREADING;CIFAR;20.0;70.0;10.0;5;10;F1_MACRO;0.029154121335444486;0.0033245276813304494
LABEL-SPREADING;CIFAR;20.0;70.0;10.0;5;10;F1_WEIGHTED;0.02835020052988215;0.0037535013961465706
